number,key,top_group,sub_group,relative_path,has_pdf,classification_basis
27,Reddi2020MLPerfInference,ByCitation,Metrics,ByCitation/Metrics/[2020] [27] MLPerf Inference Benchmark.pdf,True,Chuẩn benchmark hiệu năng suy luận MLPerf Inference Benchmark.
28,Rousseeuw1987Silhouettes,ByCitation,Metrics,ByCitation/Metrics/[1987] [28] Silhouettes A Graphical Aid to the Interpretation and Validation of.pdf,True,Chỉ số Silhouette đánh giá độ chặt và tách cụm trong không gian đặc trưng.
29,russell2008labelme,ByCitation,Dataset,ByCitation/Dataset/[2008] [29] LabelMe a database and web-based tool for image annotation.pdf,True,Bộ công cụ LabelMe dùng gán nhãn u xương cho bộ dữ liệu BTXRD.
30,ParaphraseMultilingualMiniLM,Online,Online,N/A (Online resource or paywalled),False,Mô hình nhúng câu đa ngôn ngữ Sentence-Transformers Paraphrase Multilingual MiniLM-L12-v2.
31,BiomedCoOp,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2024] [31] BiomedCoOp Explainable Medical Vision-Language Prompting.pdf,True,Phương pháp tinh chỉnh sử dụng câu nhắc có thể giải thích cho mô hình Med-VLM.
32,Snell2017ProtoNet,Selected,Selected,Selected/[2017] [32] Prototypical Networks for Few-shot Learning.pdf,True,Bộ phân lớp dựa trên tâm lớp thực nghiệm (Empirical Prototype Classifier) trong Chương 3.
33,Sun2022KNN,Selected,Selected,Selected/[2022] [33] Out-of-Distribution Detection with Deep Nearest Neighbors.pdf,True,Phương pháp Deep Nearest Neighbors (kNN) dùng cho Multi-modal Ensemble OOD Detection trong Chương 3.
34,Sundararajan2017IntegratedGradients,Selected,Selected,Selected/[2017] [34] Axiomatic Attribution for Deep Networks.pdf,True,Phương pháp Tích phân Gradient (Integrated Gradients) cho giải thích mô hình đa phương thức trong Chương 3.
35,MED-PALM-M,ByCitation,Med-MLLLM,ByCitation/Med-MLLLM/[2024] [35] Towards Generalist Biomedical AI.pdf,True,Mô hình đa phương thức tổng quát y sinh Med-PaLM M của Google Research.
36,TieNet,ByCitation,Explainable AI,ByCitation/Explainable AI/[2018] [36] TieNet Text-Image Embedding Network for Common Thorax Disease Classification and.pdf,True,Mô hình gióng hàng chú ý đa cấp giữa từ vựng báo cáo y tế và vùng ảnh X-quang.
37,MedCLIP,Selected,Selected,Selected/[2022] [37] MedCLIP Contrastive Learning from Unpaired Medical Images and Text.pdf,True,Kế thừa hàm mất mát khớp ngữ nghĩa (Semantic Matching Loss) cho huấn luyện Pha 1 trong Chương 3.
38,CenterLoss,ByCitation,OOD Detection,ByCitation/OOD Detection/[2016] [38] A discriminative feature learning approach for deep face recognition.pdf,True,Hàm mất mát tâm lớp (Center Loss) hỗ trợ học biểu diễn tập trung cho phát hiện OOD.
39,Yao2025,ByCitation,Dataset,"ByCitation/Dataset/[2025] [39] A Radiograph Dataset for the Classification, Localization, and Segmentation of.pdf",True,Bài báo công bố bộ dữ liệu ảnh X-quang u xương nguyên phát BTXRD.
40,PLIP,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2025] [40] Disease-Informed Adaptation of Vision-Language Models.pdf,True,Phương pháp thích nghi có định hướng bệnh học cho mô hình ngôn ngữ trực quan.
41,BiomedCLIP,Selected,Selected,Selected/[2023] [41] Large-Scale Domain-Specific Pretraining for Biomedical Vision-Language Processing.pdf,True,Mô hình nền tảng BiomedCLIP được thích nghi và là xương sống của phương pháp đề xuất XBone-Net trong Chương 3.
42,ConVIRT,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2021] [42] Contrastive Learning of Medical Visual Representations from Paired Images and.pdf,True,Nghiên cứu tiên phong về học biểu diễn tương phản ảnh-văn bản y khoa.
43,CLIPath,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2023] [43] CLIPath A Parameter-Efficient Adaptation Framework for Pathology Image Analysis.pdf,True,Phương pháp thích nghi tham số hiệu quả bằng bộ điều hợp cho phân tích bệnh học.
44,IRENE,ByCitation,Explainable AI,ByCitation/Explainable AI/[2023] [44] A transformer-based representation-learning model with unified processing of multimodal input.pdf,True,Mô hình Transformer thống nhất tương tác và giải thích đa phương thức ở cấp độ cục bộ.
